ID,Время создания,Вы За или Против включения рождественской музыки в Атриуме,Включать музыку утром и/или вечером? / Утром,Включать музыку утром и/или вечером? / Вечером,Если вы За включение рождественской музыки - прикрепите в ответе ссылки на атмосферные песни/плейлисты на Яндекс.Музыке или плейлисты на YouTube,С какой даты будем включать рождественскую музыку в Атриуме (c 25 декабря включаем по умолчанию) / С 18 декабря,С какой даты будем включать рождественскую музыку в Атриуме (c 25 декабря включаем по умолчанию) / С 19 декабря,С какой даты будем включать рождественскую музыку в Атриуме (c 25 декабря включаем по умолчанию) / С 20 декабря,С какой даты будем включать рождественскую музыку в Атриуме (c 25 декабря включаем по умолчанию) / С 21 декабря,С какой даты будем включать рождественскую музыку в Атриуме (c 25 декабря включаем по умолчанию) / С 22 декабря,С какой даты будем включать рождественскую музыку в Атриуме (c 25 декабря включаем по умолчанию) / С 23 декабря,С какой даты будем включать рождественскую музыку в Атриуме (c 25 декабря включаем по умолчанию) / С 24 декабря,По какую дату будем включать рождественскую музыку в Атриуме? / По 1 января,По какую дату будем включать рождественскую музыку в Атриуме? / По 2 января,По какую дату будем включать рождественскую музыку в Атриуме? / По 3 января,По какую дату будем включать рождественскую музыку в Атриуме? / По 4 января,По какую дату будем включать рождественскую музыку в Атриуме? / По 5 января,По какую дату будем включать рождественскую музыку в Атриуме? / По 6 января,По какую дату будем включать рождественскую музыку в Атриуме? / По 7 января,"Время утром, в промежутке которого будем включать рождественскую музыку в Атриуме? / С 7 часов до 12 часов","Время утром, в промежутке которого будем включать рождественскую музыку в Атриуме? / С 8 часов до 12 часов","Время утром, в промежутке которого будем включать рождественскую музыку в Атриуме? / С 9 часов до 12 часов","Время утром, в промежутке которого будем включать рождественскую музыку в Атриуме? / С 10 часов до 12 часов","Время вечером, в промежутке которого будем включать рождественскую музыку в Атриуме? / с 17 часов до 22 часов","Время вечером, в промежутке которого будем включать рождественскую музыку в Атриуме? / с 18 часов до 22 часов","Время вечером, в промежутке которого будем включать рождественскую музыку в Атриуме? / с 19 часов до 22 часов","Время вечером, в промежутке которого будем включать рождественскую музыку в Атриуме? / с 20 часов до 22 часов","Время вечером, в промежутке которого будем включать рождественскую музыку в Атриуме? / с 21 часа до 22 часов"
1559830872,2023-11-30 12:56:04,За включение музыки,Утром,Вечером,,С 18 декабря,С 19 декабря,С 20 декабря,С 21 декабря,С 22 декабря,С 23 декабря,С 24 декабря,По 1 января,По 2 января,По 3 января,По 4 января,По 5 января,По 6 января,По 7 января,,,С 9 часов до 12 часов,,с 17 часов до 22 часов,,,,
1559828648,2023-11-30 12:54:05,За включение музыки,Утром,,,С 18 декабря,,,,,,,,,По 3 января,,,,,,С 8 часов до 12 часов,,,,,,,
1559827238,2023-11-30 12:52:51,За включение музыки,Утром,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,С 7 часов до 12 часов,,,,с 17 часов до 22 часов,,,,
1559824504,2023-11-30 12:50:26,За включение музыки,,Вечером,"https://music.yandex.ru/users/newyearplaylists/playlists/1019?utm_medium=copy_link

https://youtu.be/m0rjDmeyo6M?si=hrfZXCC-fpqDQHHs",,,,,,,С 24 декабря,,,,,,,По 7 января,,,,,с 17 часов до 22 часов,,,,
1559822244,2023-11-30 12:48:30,За включение музыки,,Вечером,"https://music.yandex.ru/album/45995/track/42686?utm_medium=copy_link
https://music.yandex.ru/album/23674959/track/107744883?utm_medium=copy_link
https://music.yandex.ru/album/46716/track/152768?utm_medium=copy_link
https://music.yandex.ru/album/7315401/track/27965?utm_medium=copy_link
https://music.yandex.ru/album/1440/track/15676?utm_medium=copy_link
https://music.yandex.ru/album/34852/track/249762?utm_medium=copy_link
https://music.yandex.ru/album/14909870/track/75360265?utm_medium=copy_link
https://music.yandex.ru/album/5639257/track/70492?utm_medium=copy_link
https://youtu.be/moR4uw-NWLY?si=R3vOMbwcGRgWSsfQ",С 18 декабря,,,,,,,,,,,,,По 7 января,,,,,с 17 часов до 22 часов,,,,
1559821476,2023-11-30 12:47:52,За включение музыки,,Вечером,https://youtu.be/qy9UsKiYqoc?si=C4LM6DhNuKiSqgGC,С 18 декабря,,,,,,,,,,,По 5 января,,,,,,,,,с 19 часов до 22 часов,,
1559821072,2023-11-30 12:47:30,За включение музыки,Утром,Вечером,"https://music.yandex.ru/album/2080366/track/16479089?utm_medium=copy_link

https://music.yandex.ru/album/3969883/track/32504831?utm_medium=copy_link

https://music.yandex.ru/album/4419319/track/104400?utm_medium=copy_link

https://music.yandex.ru/album/5976509/track/37817910?utm_medium=copy_link

https://music.yandex.ru/album/69551/track/631110?utm_medium=copy_link

",С 18 декабря,,,,,,,,,По 3 января,,,,,,,С 9 часов до 12 часов,,,с 18 часов до 22 часов,,,
1559819205,2023-11-30 12:45:51,За включение музыки,Утром,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,,,С 9 часов до 12 часов,,с 17 часов до 22 часов,,,,
1559816266,2023-11-30 12:43:16,За включение музыки,,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,,,,,,,,с 20 часов до 22 часов,
1559816189,2023-11-30 12:43:12,За включение музыки,Утром,Вечером,https://youtube.com/playlist?list=PLR7sPawuzFmKc1Q0dFwbawJASpUo8Kggp&si=2EHqOvaKEN_qpfPL,С 18 декабря,,,,,,,,,,,,,По 7 января,С 7 часов до 12 часов,С 8 часов до 12 часов,С 9 часов до 12 часов,С 10 часов до 12 часов,с 17 часов до 22 часов,с 18 часов до 22 часов,с 19 часов до 22 часов,с 20 часов до 22 часов,с 21 часа до 22 часов
1559815863,2023-11-30 12:42:56,За включение музыки,Утром,Вечером,https://music.yandex.ru/album/28001678?utm_medium=copy_link,С 18 декабря,,,,,,,,,,,,,По 7 января,,,С 9 часов до 12 часов,,,,с 19 часов до 22 часов,,
1559815807,2023-11-30 12:42:52,За включение музыки,,Вечером,"https://music.yandex.com/album/12351133?utm_medium=copy_link

https://www.youtube.com/watch?v=iseJMFaDXaw&ab_channel=%EB%A9%94%EB%A5%B4%ED%97%A8Marchen",,,,,С 22 декабря,,,,,,,По 5 января,,,,,,,,,с 19 часов до 22 часов,,
1559814522,2023-11-30 12:41:40,За включение музыки,Утром,Вечером,https://music.yandex.ru/album/28355887?utm_medium=copy_link,,,С 20 декабря,,,,,,По 2 января,,,,,,,,С 9 часов до 12 часов,,,,,с 20 часов до 22 часов,
1559813770,2023-11-30 12:40:59,За включение музыки,Утром,Вечером,"https://music.yandex.ru/users/music-blog/playlists/1947

+

https://www.youtube.com/watch?v=HGwSBWUD2ks&t=1336s

= 

любовь",С 18 декабря,,,,,,,,,,,,,По 7 января,,,,С 10 часов до 12 часов,с 17 часов до 22 часов,,,,
1559813750,2023-11-30 12:40:58,Против включения музыки,,,,,,,,,,,,,,,,,,,,,,,,,,
1559813606,2023-11-30 12:40:50,За включение музыки,Утром,Вечером,https://www.youtube.com/watch?v=retH3VVimhE,С 18 декабря,,,,,,,,,По 3 января,,,,,С 7 часов до 12 часов,,,,,с 18 часов до 22 часов,,,
1559813464,2023-11-30 12:40:42,Против включения музыки,,,,,,,,,,,,,,,,,,,,,,,,,,
1559813367,2023-11-30 12:40:38,За включение музыки,,Вечером,https://music.yandex.ru/album/9526009/track/61192787?utm_medium=copy_link,С 18 декабря,,,,,,,,,,,По 5 января,,,,,,,с 17 часов до 22 часов,,,,
1559813352,2023-11-30 12:40:37,За включение музыки,,Вечером,,,,С 20 декабря,,,,,,,,,,,По 7 января,,,,,,,с 19 часов до 22 часов,,
1559812986,2023-11-30 12:40:19,За включение музыки,Утром,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,С 7 часов до 12 часов,,,,с 17 часов до 22 часов,,,,
1559812315,2023-11-30 12:39:45,За включение музыки,Утром,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,С 7 часов до 12 часов,,,,с 17 часов до 22 часов,,,,
1559811831,2023-11-30 12:39:21,За включение музыки,Утром,Вечером,,С 18 декабря,С 19 декабря,С 20 декабря,С 21 декабря,С 22 декабря,С 23 декабря,С 24 декабря,По 1 января,По 2 января,По 3 января,По 4 января,По 5 января,По 6 января,По 7 января,С 7 часов до 12 часов,,,,с 17 часов до 22 часов,,,,
1559811572,2023-11-30 12:39:08,За включение музыки,Утром,Вечером,,,,,,,,,,,,,По 5 января,,,С 7 часов до 12 часов,С 8 часов до 12 часов,С 9 часов до 12 часов,С 10 часов до 12 часов,с 17 часов до 22 часов,с 18 часов до 22 часов,с 19 часов до 22 часов,с 20 часов до 22 часов,с 21 часа до 22 часов
1559810519,2023-11-30 12:38:16,За включение музыки,Утром,Вечером,,С 18 декабря,,,,,,,,,,,,,По 7 января,С 7 часов до 12 часов,,,,с 17 часов до 22 часов,,,,
1559810191,2023-11-30 12:38:00,Против включения музыки,,,,,,,,,,,,,,,,,,,,,,,,,,
1559808137,2023-11-30 12:36:18,За включение музыки,Утром,Вечером,,С 18 декабря,,,,,,,,,По 3 января,,,,,С 7 часов до 12 часов,,,,с 17 часов до 22 часов,,,,
1559808026,2023-11-30 12:36:13,За включение музыки,Утром,Вечером,,С 18 декабря,С 19 декабря,С 20 декабря,С 21 декабря,С 22 декабря,С 23 декабря,С 24 декабря,По 1 января,По 2 января,По 3 января,По 4 января,По 5 января,По 6 января,По 7 января,С 7 часов до 12 часов,С 8 часов до 12 часов,С 9 часов до 12 часов,С 10 часов до 12 часов,с 17 часов до 22 часов,с 18 часов до 22 часов,с 19 часов до 22 часов,с 20 часов до 22 часов,с 21 часа до 22 часов
1559806073,2023-11-30 12:34:44,Против включения музыки,,,,,,,,,,,,,,,,,,,,,,,,,,
1559769952,2023-11-30 12:04:55,За включение музыки,Утром,Вечером,,С 18 декабря,С 19 декабря,С 20 декабря,,,,,,,,,,,,С 7 часов до 12 часов,С 8 часов до 12 часов,,,с 17 часов до 22 часов,,,с 20 часов до 22 часов,
1559734819,2023-11-30 11:37:46,За включение музыки,,Вечером,,,,,,,,,,,,,,,,,,,,,,,,
1559647115,2023-11-30 10:27:53,За включение музыки,,,cringe,,,,,,,,,,,,,,,,,,,,,,,
